,centroid_x,centroid_y,members
0,768,113,"[array([768, 113, 1587, 'AP2AR3I6ZWUOP'], dtype=object), array([766, 117, 1432, 'ATIGCUKIPNWG0'], dtype=object), array([770, 111, 1696, 'A1TK0ZMZ571GG0'], dtype=object), array([766, 115, 1727, 'A3BETRYEHTABOW'], dtype=object), array([768, 111, 0, 'ATRF28UBVVCWE'], dtype=object), array([774, 117, 1434, 'A32NWSI7SGQSFW'], dtype=object), array([768, 121, 2089, 'ATV6ICKU8U99L'], dtype=object), array([762, 115, 1007, 'ASI6KXF2GAUTQ'], dtype=object), array([768, 115, 1781, 'A3CSY75LCJCNOI'], dtype=object), array([772, 102, 890, 'A1WAGM4T963MTF'], dtype=object), array([766, 113, 1935, 'A2D7SD76AM3Y9C'], dtype=object), array([758, 102, 750, 'A10XK1PCN65URM'], dtype=object), array([768, 115, 1748, 'A1R907HJF0EC78'], dtype=object), array([766, 113, 1433, 'A3KQYK3Q08ONN9'], dtype=object), array([770, 113, 984, 'A13YH9YNHZXBJE'], dtype=object), array([762, 113, 857, 'A301X9EE0SXTYL'], dtype=object), array([762, 113, 864, 'AW5CAVAQBYOLE'], dtype=object), array([770, 113, 1320, 'A3SLBRRH6YEVCB'], dtype=object), array([770, 113, 1680, 'A1N4TYRLJ26DB9'], dtype=object), array([770, 113, 1741, 'A2LXH22NMQ1ECA'], dtype=object), array([768, 117, 2114, 'A2Z8V601LQT1KU'], dtype=object), array([768, 113, 1075, 'A3AF8RFF1R9EBY'], dtype=object), array([764, 115, 1210, 'A2S9ZPD18SZND7'], dtype=object)]"
1,594,555,"[array([594, 555, 7498, 'AP2AR3I6ZWUOP'], dtype=object), array([592, 555, 1915, 'A32NWSI7SGQSFW'], dtype=object), array([592, 555, 1403, 'ATV6ICKU8U99L'], dtype=object), array([594, 549, 1794, 'ASI6KXF2GAUTQ'], dtype=object), array([592, 553, 3391, 'A3CSY75LCJCNOI'], dtype=object), array([598, 559, 897, 'A1WAGM4T963MTF'], dtype=object), array([592, 561, 1615, 'A2D7SD76AM3Y9C'], dtype=object), array([604, 551, 569, 'A301X9EE0SXTYL'], dtype=object), array([592, 557, 2290, 'A1N4TYRLJ26DB9'], dtype=object), array([594, 553, 1630, 'A2LXH22NMQ1ECA'], dtype=object), array([592, 557, 911, 'A2S9ZPD18SZND7'], dtype=object)]"
2,672,145,"[array([672, 145, 1347, 'AP2AR3I6ZWUOP'], dtype=object), array([670, 147, 1095, 'ATIGCUKIPNWG0'], dtype=object), array([672, 145, 1184, 'A1TK0ZMZ571GG0'], dtype=object), array([672, 143, 1562, 'ATRF28UBVVCWE'], dtype=object), array([664, 143, 1482, 'A32NWSI7SGQSFW'], dtype=object), array([674, 145, 673, 'ASI6KXF2GAUTQ'], dtype=object), array([672, 145, 2618, 'A3CSY75LCJCNOI'], dtype=object), array([670, 147, 467, 'A10XK1PCN65URM'], dtype=object), array([668, 143, 2028, 'A1R907HJF0EC78'], dtype=object), array([672, 147, 963, 'A13YH9YNHZXBJE'], dtype=object), array([672, 145, 8613, 'A1N4TYRLJ26DB9'], dtype=object), array([672, 143, 1333, 'A2LXH22NMQ1ECA'], dtype=object), array([670, 147, 2169, 'A2Z8V601LQT1KU'], dtype=object), array([672, 145, 935, 'A2S9ZPD18SZND7'], dtype=object)]"
3,778,440,"[array([778, 440, 2010, 'AP2AR3I6ZWUOP'], dtype=object), array([778, 442, 2657, 'A1TK0ZMZ571GG0'], dtype=object), array([778, 436, 930, 'A3BETRYEHTABOW'], dtype=object), array([776, 442, 2050, 'A32NWSI7SGQSFW'], dtype=object), array([780, 442, 1129, 'ASI6KXF2GAUTQ'], dtype=object), array([778, 442, 2476, 'A3CSY75LCJCNOI'], dtype=object), array([778, 434, 976, 'A1WAGM4T963MTF'], dtype=object), array([776, 444, 2744, 'A2D7SD76AM3Y9C'], dtype=object), array([780, 436, 646, 'A10XK1PCN65URM'], dtype=object), array([768, 438, 2677, 'A1R907HJF0EC78'], dtype=object), array([776, 444, 2070, 'A3KQYK3Q08ONN9'], dtype=object), array([778, 442, 1274, 'A13YH9YNHZXBJE'], dtype=object), array([782, 436, 10594, 'A301X9EE0SXTYL'], dtype=object), array([778, 438, 801, 'A3SLBRRH6YEVCB'], dtype=object), array([776, 442, 2255, 'A1N4TYRLJ26DB9'], dtype=object), array([774, 442, 1106, 'A2LXH22NMQ1ECA'], dtype=object), array([780, 440, 2363, 'A2Z8V601LQT1KU'], dtype=object), array([780, 442, 934, 'A3AF8RFF1R9EBY'], dtype=object)]"
4,580,782,"[array([575, 782, 635, 'AP2AR3I6ZWUOP'], dtype=object), array([580, 782, 1544, 'ATIGCUKIPNWG0'], dtype=object), array([584, 784, 1335, 'A1TK0ZMZ571GG0'], dtype=object), array([582, 782, 984, 'A3BETRYEHTABOW'], dtype=object), array([582, 782, 809, 'ATRF28UBVVCWE'], dtype=object), array([582, 782, 1200, 'A32NWSI7SGQSFW'], dtype=object), array([582, 784, 1066, 'ATV6ICKU8U99L'], dtype=object), array([578, 782, 774, 'ASI6KXF2GAUTQ'], dtype=object), array([580, 784, 1278, 'A3CSY75LCJCNOI'], dtype=object), array([580, 780, 584, 'A1WAGM4T963MTF'], dtype=object), array([584, 784, 1527, 'A2D7SD76AM3Y9C'], dtype=object), array([588, 780, 725, 'A10XK1PCN65URM'], dtype=object), array([580, 780, 1948, 'A1R907HJF0EC78'], dtype=object), array([578, 780, 231, 'A1R907HJF0EC78'], dtype=object), array([582, 782, 2208, 'A3KQYK3Q08ONN9'], dtype=object), array([584, 788, 935, 'A13YH9YNHZXBJE'], dtype=object), array([578, 780, 1346, 'A301X9EE0SXTYL'], dtype=object), array([573, 784, 936, 'AW5CAVAQBYOLE'], dtype=object), array([580, 786, 896, 'A3SLBRRH6YEVCB'], dtype=object), array([582, 782, 2182, 'A1N4TYRLJ26DB9'], dtype=object), array([582, 782, 1929, 'A2LXH22NMQ1ECA'], dtype=object), array([580, 782, 1988, 'A2Z8V601LQT1KU'], dtype=object), array([582, 778, 1145, 'A3AF8RFF1R9EBY'], dtype=object), array([582, 782, 951, 'A2S9ZPD18SZND7'], dtype=object)]"
5,958,680,"[array([958, 680, 2350, 'ATIGCUKIPNWG0'], dtype=object), array([963, 682, 1191, 'ATRF28UBVVCWE'], dtype=object), array([963, 678, 1250, 'A32NWSI7SGQSFW'], dtype=object), array([961, 686, 2349, 'A2D7SD76AM3Y9C'], dtype=object), array([963, 670, 704, 'A10XK1PCN65URM'], dtype=object), array([958, 678, 1332, 'A13YH9YNHZXBJE'], dtype=object), array([954, 678, 6800, 'A301X9EE0SXTYL'], dtype=object), array([956, 682, 1736, 'A3SLBRRH6YEVCB'], dtype=object), array([954, 680, 2822, 'A1N4TYRLJ26DB9'], dtype=object), array([956, 682, 3053, 'A2LXH22NMQ1ECA'], dtype=object), array([956, 682, 4043, 'A3AF8RFF1R9EBY'], dtype=object), array([954, 682, 0, 'A2S9ZPD18SZND7'], dtype=object)]"
6,160,451,"[array([162, 449, 1243, 'AP2AR3I6ZWUOP'], dtype=object), array([160, 451, 784, 'ATIGCUKIPNWG0'], dtype=object), array([160, 449, 1782, 'A1TK0ZMZ571GG0'], dtype=object), array([160, 449, 896, 'A3BETRYEHTABOW'], dtype=object), array([158, 455, 2132, 'A32NWSI7SGQSFW'], dtype=object), array([166, 449, 1013, 'ATV6ICKU8U99L'], dtype=object), array([160, 446, 773, 'ASI6KXF2GAUTQ'], dtype=object), array([162, 449, 1012, 'A3CSY75LCJCNOI'], dtype=object), array([164, 446, 680, 'A1WAGM4T963MTF'], dtype=object), array([160, 449, 1516, 'A2D7SD76AM3Y9C'], dtype=object), array([158, 451, 1267, 'A1R907HJF0EC78'], dtype=object), array([156, 453, 1086, 'A3KQYK3Q08ONN9'], dtype=object), array([164, 453, 1791, 'A3KQYK3Q08ONN9'], dtype=object), array([158, 446, 0, 'A13YH9YNHZXBJE'], dtype=object), array([168, 446, 799, 'A301X9EE0SXTYL'], dtype=object), array([160, 453, 1192, 'AW5CAVAQBYOLE'], dtype=object), array([158, 453, 1039, 'A3SLBRRH6YEVCB'], dtype=object), array([156, 453, 2381, 'A1N4TYRLJ26DB9'], dtype=object), array([158, 446, 1694, 'A2LXH22NMQ1ECA'], dtype=object), array([158, 453, 3488, 'A2Z8V601LQT1KU'], dtype=object), array([156, 451, 872, 'A3AF8RFF1R9EBY'], dtype=object), array([162, 457, 1192, 'A2S9ZPD18SZND7'], dtype=object)]"
7,170,791,"[array([172, 788, 1559, 'AP2AR3I6ZWUOP'], dtype=object), array([170, 791, 1282, 'ATIGCUKIPNWG0'], dtype=object), array([168, 791, 1006, 'A1TK0ZMZ571GG0'], dtype=object), array([168, 799, 0, 'A3BETRYEHTABOW'], dtype=object), array([170, 793, 3727, 'ATV6ICKU8U99L'], dtype=object), array([166, 793, 0, 'ASI6KXF2GAUTQ'], dtype=object), array([170, 788, 0, 'A3CSY75LCJCNOI'], dtype=object), array([176, 793, 0, 'A1WAGM4T963MTF'], dtype=object), array([166, 793, 1631, 'A2D7SD76AM3Y9C'], dtype=object), array([172, 791, 804, 'A10XK1PCN65URM'], dtype=object), array([166, 788, 3092, 'A1R907HJF0EC78'], dtype=object), array([172, 793, 1419, 'A3KQYK3Q08ONN9'], dtype=object), array([174, 788, 888, 'A13YH9YNHZXBJE'], dtype=object), array([168, 788, 0, 'A301X9EE0SXTYL'], dtype=object), array([162, 805, 0, 'AW5CAVAQBYOLE'], dtype=object), array([172, 788, 659, 'A3SLBRRH6YEVCB'], dtype=object), array([168, 791, 0, 'A1N4TYRLJ26DB9'], dtype=object), array([172, 791, 9376, 'A2LXH22NMQ1ECA'], dtype=object), array([170, 793, 0, 'A2Z8V601LQT1KU'], dtype=object), array([172, 793, 1147, 'A3AF8RFF1R9EBY'], dtype=object), array([170, 793, 1427, 'A2S9ZPD18SZND7'], dtype=object)]"
8,901,381,"[array([903, 379, 1442, 'AP2AR3I6ZWUOP'], dtype=object), array([901, 381, 1868, 'A1TK0ZMZ571GG0'], dtype=object), array([899, 383, 1163, 'A3BETRYEHTABOW'], dtype=object), array([895, 379, 977, 'ATRF28UBVVCWE'], dtype=object), array([905, 379, 4241, 'A3CSY75LCJCNOI'], dtype=object), array([903, 383, 1696, 'A2D7SD76AM3Y9C'], dtype=object), array([899, 391, 513, 'A10XK1PCN65URM'], dtype=object), array([901, 379, 1864, 'A1R907HJF0EC78'], dtype=object), array([899, 383, 1027, 'A3KQYK3Q08ONN9'], dtype=object), array([903, 383, 12971, 'A13YH9YNHZXBJE'], dtype=object), array([905, 379, 2135, 'A2LXH22NMQ1ECA'], dtype=object), array([903, 381, 2230, 'A2Z8V601LQT1KU'], dtype=object), array([903, 385, 935, 'A2S9ZPD18SZND7'], dtype=object)]"
9,487,467,"[array([485, 467, 2007, 'AP2AR3I6ZWUOP'], dtype=object), array([487, 463, 1615, 'ATIGCUKIPNWG0'], dtype=object), array([487, 467, 2399, 'A1TK0ZMZ571GG0'], dtype=object), array([485, 465, 1404, 'A3BETRYEHTABOW'], dtype=object), array([485, 461, 1305, 'ATRF28UBVVCWE'], dtype=object), array([489, 467, 1850, 'A32NWSI7SGQSFW'], dtype=object), array([487, 465, 1651, 'ATV6ICKU8U99L'], dtype=object), array([485, 461, 942, 'ASI6KXF2GAUTQ'], dtype=object), array([485, 469, 1592, 'A3CSY75LCJCNOI'], dtype=object), array([485, 461, 728, 'A1WAGM4T963MTF'], dtype=object), array([492, 465, 1146, 'A2D7SD76AM3Y9C'], dtype=object), array([483, 467, 805, 'A10XK1PCN65URM'], dtype=object), array([485, 465, 2348, 'A1R907HJF0EC78'], dtype=object), array([485, 465, 0, 'A3KQYK3Q08ONN9'], dtype=object), array([487, 467, 1120, 'A13YH9YNHZXBJE'], dtype=object), array([489, 467, 785, 'A301X9EE0SXTYL'], dtype=object), array([485, 479, 929, 'AW5CAVAQBYOLE'], dtype=object), array([483, 467, 816, 'A3SLBRRH6YEVCB'], dtype=object), array([487, 465, 2276, 'A1N4TYRLJ26DB9'], dtype=object), array([487, 463, 4064, 'A2LXH22NMQ1ECA'], dtype=object), array([485, 469, 2567, 'A2Z8V601LQT1KU'], dtype=object), array([487, 467, 1489, 'A3AF8RFF1R9EBY'], dtype=object), array([483, 467, 1152, 'A2S9ZPD18SZND7'], dtype=object)]"
