,centroid_x,centroid_y,members
0,757.75,633.0,"[array(['760', '629', '944', 'ATIGCUKIPNWG0'], dtype='<U21'), array(['762', '635', '1299', 'A32NWSI7SGQSFW'], dtype='<U21'), array(['760', '633', '1720', 'A2D7SD76AM3Y9C'], dtype='<U21'), array(['756', '635', '2610', 'A3B466VOJ28ZF7'], dtype='<U21'), array(['754', '635', '4285', 'A2Z8V601LQT1KU'], dtype='<U21'), array(['754', '637', '655', 'A2QBV3Y7X34XNB'], dtype='<U21'), array(['752', '629', '1115', 'A177OVGJ3B0GLI'], dtype='<U21'), array(['764', '631', '857', 'A3AF8RFF1R9EBY'], dtype='<U21')]"
1,759.6666666666666,623.3333333333334,"[array(['770', '621', '1118', 'A32NWSI7SGQSFW'], dtype='<U21'), array(['754', '621', '1113', 'ASI6KXF2GAUTQ'], dtype='<U21'), array(['758', '625', '884', 'A1WAGM4T963MTF'], dtype='<U21'), array(['758', '625', '783', 'A13YH9YNHZXBJE'], dtype='<U21'), array(['756', '627', '2217', 'A1N4TYRLJ26DB9'], dtype='<U21'), array(['762', '621', '1339', 'A3B466VOJ28ZF7'], dtype='<U21')]"
2,266,33,"[array([270, 35, 928, 'ATIGCUKIPNWG0'], dtype=object), array([266, 33, 0, 'A1TK0ZMZ571GG0'], dtype=object), array([264, 29, 2650, 'A32NWSI7SGQSFW'], dtype=object), array([272, 35, 1095, 'ATV6ICKU8U99L'], dtype=object), array([260, 33, 1137, 'ATRF28UBVVCWE'], dtype=object), array([266, 35, 878, 'ASI6KXF2GAUTQ'], dtype=object), array([272, 29, 928, 'A1WAGM4T963MTF'], dtype=object), array([262, 27, 1337, 'A2D7SD76AM3Y9C'], dtype=object), array([264, 37, 1120, 'A301X9EE0SXTYL'], dtype=object), array([270, 31, 944, 'A13YH9YNHZXBJE'], dtype=object), array([274, 31, 1802, 'AW5CAVAQBYOLE'], dtype=object), array([264, 37, 0, 'A3SLBRRH6YEVCB'], dtype=object), array([266, 37, 3302, 'A1N4TYRLJ26DB9'], dtype=object), array([264, 35, 3582, 'A3B466VOJ28ZF7'], dtype=object), array([268, 37, 2732, 'A2Z8V601LQT1KU'], dtype=object), array([266, 25, 1888, 'A2QBV3Y7X34XNB'], dtype=object), array([266, 35, 1043, 'A177OVGJ3B0GLI'], dtype=object), array([270, 33, 720, 'A3AF8RFF1R9EBY'], dtype=object), array([264, 35, 4880, 'A3296YYPGRTOUN'], dtype=object), array([252, 33, 245, 'ASY5AZCZEM04L'], dtype=object), array([260, 23, 1301, 'A1IIFJRKVF2E8H'], dtype=object)]"
3,594,287,"[array([598, 291, 1520, 'ATIGCUKIPNWG0'], dtype=object), array([594, 287, 1128, 'A1TK0ZMZ571GG0'], dtype=object), array([596, 287, 2233, 'A32NWSI7SGQSFW'], dtype=object), array([596, 285, 1361, 'ATRF28UBVVCWE'], dtype=object), array([590, 281, 1113, 'ASI6KXF2GAUTQ'], dtype=object), array([600, 283, 824, 'A1WAGM4T963MTF'], dtype=object), array([598, 279, 1423, 'A2D7SD76AM3Y9C'], dtype=object), array([590, 287, 5961, 'A301X9EE0SXTYL'], dtype=object), array([594, 285, 1265, 'A13YH9YNHZXBJE'], dtype=object), array([594, 289, 2039, 'A1N4TYRLJ26DB9'], dtype=object), array([592, 287, 5046, 'A3B466VOJ28ZF7'], dtype=object), array([594, 283, 1705, 'A2Z8V601LQT1KU'], dtype=object), array([594, 295, 1696, 'A2QBV3Y7X34XNB'], dtype=object), array([594, 287, 1721, 'A177OVGJ3B0GLI'], dtype=object), array([596, 285, 1033, 'A3AF8RFF1R9EBY'], dtype=object)]"
4,16,866,"[array([14, 866, 1783, 'ATIGCUKIPNWG0'], dtype=object), array([16, 866, 3515, 'A1TK0ZMZ571GG0'], dtype=object), array([18, 864, 0, 'A32NWSI7SGQSFW'], dtype=object), array([14, 866, 3088, 'ATV6ICKU8U99L'], dtype=object), array([16, 866, 1290, 'ATRF28UBVVCWE'], dtype=object), array([12, 866, 890, 'ASI6KXF2GAUTQ'], dtype=object), array([16, 868, 961, 'A1WAGM4T963MTF'], dtype=object), array([23, 866, 3349, 'A2D7SD76AM3Y9C'], dtype=object), array([14, 872, 1715, 'A301X9EE0SXTYL'], dtype=object), array([16, 872, 2012, 'A13YH9YNHZXBJE'], dtype=object), array([12, 864, 2576, 'AW5CAVAQBYOLE'], dtype=object), array([16, 868, 1172, 'A3SLBRRH6YEVCB'], dtype=object), array([16, 866, 1623, 'A1N4TYRLJ26DB9'], dtype=object), array([12, 864, 2536, 'A3B466VOJ28ZF7'], dtype=object), array([16, 870, 2789, 'A2Z8V601LQT1KU'], dtype=object), array([2, 868, 1521, 'A2QBV3Y7X34XNB'], dtype=object), array([18, 868, 1035, 'A177OVGJ3B0GLI'], dtype=object), array([16, 864, 1276, 'A3AF8RFF1R9EBY'], dtype=object), array([16, 862, 1938, 'A3296YYPGRTOUN'], dtype=object), array([23, 874, 1672, 'A1IIFJRKVF2E8H'], dtype=object)]"
5,719,977,"[array([723, 977, 787, 'ATIGCUKIPNWG0'], dtype=object), array([721, 973, 1331, 'A1TK0ZMZ571GG0'], dtype=object), array([719, 977, 2300, 'A32NWSI7SGQSFW'], dtype=object), array([711, 981, 1001, 'ATRF28UBVVCWE'], dtype=object), array([717, 971, 787, 'ASI6KXF2GAUTQ'], dtype=object), array([715, 973, 718, 'A1WAGM4T963MTF'], dtype=object), array([723, 981, 833, 'A2D7SD76AM3Y9C'], dtype=object), array([721, 973, 969, 'A301X9EE0SXTYL'], dtype=object), array([719, 973, 711, 'A13YH9YNHZXBJE'], dtype=object), array([723, 963, 529, 'AW5CAVAQBYOLE'], dtype=object), array([719, 981, 1056, 'A3SLBRRH6YEVCB'], dtype=object), array([715, 975, 1665, 'A1N4TYRLJ26DB9'], dtype=object), array([717, 979, 9878, 'A3B466VOJ28ZF7'], dtype=object), array([715, 977, 1415, 'A2Z8V601LQT1KU'], dtype=object), array([729, 981, 718, 'A2QBV3Y7X34XNB'], dtype=object), array([713, 987, 611, 'A2QBV3Y7X34XNB'], dtype=object), array([717, 977, 478, 'A177OVGJ3B0GLI'], dtype=object), array([725, 971, 997, 'A3AF8RFF1R9EBY'], dtype=object)]"
6,715,930,"[array([715, 928, 0, 'ATIGCUKIPNWG0'], dtype=object), array([715, 926, 1198, 'A1TK0ZMZ571GG0'], dtype=object), array([713, 924, 3733, 'A32NWSI7SGQSFW'], dtype=object), array([713, 936, 1541, 'ATV6ICKU8U99L'], dtype=object), array([715, 932, 696, 'ATRF28UBVVCWE'], dtype=object), array([713, 928, 1201, 'ASI6KXF2GAUTQ'], dtype=object), array([715, 930, 0, 'A1WAGM4T963MTF'], dtype=object), array([717, 930, 2359, 'A2D7SD76AM3Y9C'], dtype=object), array([709, 928, 1053, 'A301X9EE0SXTYL'], dtype=object), array([719, 924, 1498, 'A13YH9YNHZXBJE'], dtype=object), array([715, 932, 1392, 'AW5CAVAQBYOLE'], dtype=object), array([715, 928, 1272, 'A3SLBRRH6YEVCB'], dtype=object), array([717, 928, 1486, 'A1N4TYRLJ26DB9'], dtype=object), array([715, 932, 0, 'A3B466VOJ28ZF7'], dtype=object), array([715, 930, 4375, 'A2Z8V601LQT1KU'], dtype=object), array([717, 926, 0, 'A2QBV3Y7X34XNB'], dtype=object), array([713, 928, 1474, 'A177OVGJ3B0GLI'], dtype=object), array([719, 930, 0, 'A3AF8RFF1R9EBY'], dtype=object), array([719, 930, 0, 'A3296YYPGRTOUN'], dtype=object), array([709, 934, 0, 'ASY5AZCZEM04L'], dtype=object), array([715, 926, 0, 'A1IIFJRKVF2E8H'], dtype=object)]"
7,674,903,"[array([678, 901, 1349, 'ATIGCUKIPNWG0'], dtype=object), array([670, 899, 995, 'A1TK0ZMZ571GG0'], dtype=object), array([672, 895, 2567, 'A32NWSI7SGQSFW'], dtype=object), array([676, 897, 729, 'ASI6KXF2GAUTQ'], dtype=object), array([674, 903, 774, 'A1WAGM4T963MTF'], dtype=object), array([672, 899, 1552, 'A2D7SD76AM3Y9C'], dtype=object), array([668, 907, 2440, 'A301X9EE0SXTYL'], dtype=object), array([678, 905, 2591, 'AW5CAVAQBYOLE'], dtype=object), array([672, 899, 1726, 'A1N4TYRLJ26DB9'], dtype=object), array([668, 901, 4594, 'A3B466VOJ28ZF7'], dtype=object), array([674, 905, 3186, 'A2Z8V601LQT1KU'], dtype=object), array([682, 897, 761, 'A2QBV3Y7X34XNB'], dtype=object), array([672, 905, 4161, 'A177OVGJ3B0GLI'], dtype=object)]"
8,80,1014,"[array([82, 1014, 1264, 'ATIGCUKIPNWG0'], dtype=object), array([82, 1012, 977, 'A1TK0ZMZ571GG0'], dtype=object), array([82, 1012, 4632, 'A32NWSI7SGQSFW'], dtype=object), array([82, 1012, 2027, 'ATV6ICKU8U99L'], dtype=object), array([84, 1016, 1400, 'ATRF28UBVVCWE'], dtype=object), array([76, 1010, 945, 'ASI6KXF2GAUTQ'], dtype=object), array([80, 1014, 1344, 'A1WAGM4T963MTF'], dtype=object), array([76, 1012, 2037, 'A2D7SD76AM3Y9C'], dtype=object), array([82, 1012, 1102, 'A301X9EE0SXTYL'], dtype=object), array([82, 1018, 2049, 'A13YH9YNHZXBJE'], dtype=object), array([78, 1014, 1205, 'AW5CAVAQBYOLE'], dtype=object), array([86, 1016, 1292, 'A3SLBRRH6YEVCB'], dtype=object), array([80, 1014, 1769, 'A1N4TYRLJ26DB9'], dtype=object), array([82, 1014, 6444, 'A3B466VOJ28ZF7'], dtype=object), array([80, 1012, 0, 'A2Z8V601LQT1KU'], dtype=object), array([74, 1010, 1565, 'A2QBV3Y7X34XNB'], dtype=object), array([78, 1014, 1452, 'A177OVGJ3B0GLI'], dtype=object), array([90, 1016, 2022, 'A3AF8RFF1R9EBY'], dtype=object), array([80, 1018, 1496, 'A3296YYPGRTOUN'], dtype=object), array([74, 1008, 2378, 'A1IIFJRKVF2E8H'], dtype=object)]"
9,868,150,"[array([868, 152, 3134, 'A1TK0ZMZ571GG0'], dtype=object), array([860, 145, 1734, 'A32NWSI7SGQSFW'], dtype=object), array([870, 150, 2041, 'ATRF28UBVVCWE'], dtype=object), array([868, 154, 1836, 'ASI6KXF2GAUTQ'], dtype=object), array([856, 152, 1145, 'A1WAGM4T963MTF'], dtype=object), array([868, 150, 5050, 'A2D7SD76AM3Y9C'], dtype=object), array([870, 145, 1023, 'A301X9EE0SXTYL'], dtype=object), array([868, 150, 1330, 'A13YH9YNHZXBJE'], dtype=object), array([866, 150, 3219, 'A1N4TYRLJ26DB9'], dtype=object), array([870, 154, 8558, 'A3B466VOJ28ZF7'], dtype=object), array([868, 152, 2313, 'A2Z8V601LQT1KU'], dtype=object), array([872, 147, 1927, 'A2QBV3Y7X34XNB'], dtype=object), array([872, 147, 1300, 'A177OVGJ3B0GLI'], dtype=object)]"
