,centroid_x,centroid_y,members
0,270,346,"[array([270, 346, 1203, 'A1QXQTNF8CCL6C'], dtype=object), array([268, 348, 1228, 'A3BETRYEHTABOW'], dtype=object), array([268, 344, 3917, 'A32NWSI7SGQSFW'], dtype=object), array([270, 342, 1170, 'ATV6ICKU8U99L'], dtype=object), array([270, 342, 663, 'ASI6KXF2GAUTQ'], dtype=object), array([274, 348, 848, 'A1WAGM4T963MTF'], dtype=object), array([274, 344, 1915, 'A2QNHQ8QKKX576'], dtype=object), array([270, 344, 831, 'A2D7SD76AM3Y9C'], dtype=object), array([272, 348, 946, 'A13YH9YNHZXBJE'], dtype=object), array([268, 344, 501, 'A3SLBRRH6YEVCB'], dtype=object), array([272, 352, 2597, 'A3B466VOJ28ZF7'], dtype=object), array([272, 344, 2664, 'A1N4TYRLJ26DB9'], dtype=object), array([268, 344, 1907, 'A2Z8V601LQT1KU'], dtype=object), array([268, 348, 768, 'ASY5AZCZEM04L'], dtype=object)]"
1,158,623,"[array([158, 623, 1741, 'A1QXQTNF8CCL6C'], dtype=object), array([156, 623, 1139, 'A3BETRYEHTABOW'], dtype=object), array([158, 623, 890, 'ATIGCUKIPNWG0'], dtype=object), array([158, 627, 1344, 'A1TK0ZMZ571GG0'], dtype=object), array([154, 621, 1065, 'ATRF28UBVVCWE'], dtype=object), array([158, 621, 2351, 'A32NWSI7SGQSFW'], dtype=object), array([162, 631, 729, 'ATV6ICKU8U99L'], dtype=object), array([160, 614, 602, 'ASI6KXF2GAUTQ'], dtype=object), array([154, 618, 535, 'A1WAGM4T963MTF'], dtype=object), array([156, 621, 2162, 'A2QNHQ8QKKX576'], dtype=object), array([156, 621, 1648, 'A2D7SD76AM3Y9C'], dtype=object), array([164, 627, 1262, 'A2QPTOUZV7I1A5'], dtype=object), array([154, 627, 2313, 'A33AJDI02B9WQ1'], dtype=object), array([150, 618, 1160, 'A301X9EE0SXTYL'], dtype=object), array([154, 625, 804, 'A13YH9YNHZXBJE'], dtype=object), array([158, 623, 1091, 'A3SLBRRH6YEVCB'], dtype=object), array([162, 614, 637, 'AW5CAVAQBYOLE'], dtype=object), array([158, 627, 2062, 'A3B466VOJ28ZF7'], dtype=object), array([154, 625, 1431, 'A1N4TYRLJ26DB9'], dtype=object), array([158, 625, 2544, 'A2Z8V601LQT1KU'], dtype=object), array([160, 618, 1264, 'A3IR0O0RKEJKY'], dtype=object), array([170, 627, 825, 'A24H9XZ7OE8WMW'], dtype=object), array([156, 625, 4964, 'A352XA3KA1Y1A4'], dtype=object)]"
2,168,838,"[array([168, 838, 3443, 'A1QXQTNF8CCL6C'], dtype=object), array([164, 840, 864, 'A1TK0ZMZ571GG0'], dtype=object), array([168, 836, 3396, 'ATV6ICKU8U99L'], dtype=object), array([170, 842, 0, 'ASI6KXF2GAUTQ'], dtype=object), array([164, 838, 0, 'A2QNHQ8QKKX576'], dtype=object), array([166, 842, 1733, 'A2QPTOUZV7I1A5'], dtype=object), array([164, 836, 2641, 'A33AJDI02B9WQ1'], dtype=object), array([170, 834, 878, 'A13YH9YNHZXBJE'], dtype=object), array([172, 836, 856, 'AW5CAVAQBYOLE'], dtype=object), array([164, 842, 6414, 'A3B466VOJ28ZF7'], dtype=object), array([164, 840, 1772, 'A2Z8V601LQT1KU'], dtype=object), array([164, 838, 2192, 'A3IR0O0RKEJKY'], dtype=object), array([170, 836, 0, 'A352XA3KA1Y1A4'], dtype=object)]"
3,133,649,"[array([135, 647, 1556, 'A1QXQTNF8CCL6C'], dtype=object), array([133, 649, 828, 'A3BETRYEHTABOW'], dtype=object), array([131, 649, 1415, 'ATIGCUKIPNWG0'], dtype=object), array([135, 651, 1006, 'A1TK0ZMZ571GG0'], dtype=object), array([137, 647, 3726, 'ATRF28UBVVCWE'], dtype=object), array([137, 649, 3483, 'A32NWSI7SGQSFW'], dtype=object), array([131, 649, 1220, 'ATV6ICKU8U99L'], dtype=object), array([133, 649, 888, 'ASI6KXF2GAUTQ'], dtype=object), array([129, 659, 581, 'A1WAGM4T963MTF'], dtype=object), array([137, 649, 1669, 'A2QNHQ8QKKX576'], dtype=object), array([131, 649, 1059, 'A2D7SD76AM3Y9C'], dtype=object), array([137, 649, 2284, 'A2QPTOUZV7I1A5'], dtype=object), array([133, 645, 2419, 'A33AJDI02B9WQ1'], dtype=object), array([133, 647, 466, 'A301X9EE0SXTYL'], dtype=object), array([133, 653, 1338, 'A13YH9YNHZXBJE'], dtype=object), array([129, 651, 1432, 'A3SLBRRH6YEVCB'], dtype=object), array([123, 651, 0, 'AW5CAVAQBYOLE'], dtype=object), array([131, 651, 2593, 'A3B466VOJ28ZF7'], dtype=object), array([131, 649, 3763, 'A1N4TYRLJ26DB9'], dtype=object), array([133, 651, 2359, 'A2Z8V601LQT1KU'], dtype=object), array([135, 647, 2520, 'A3IR0O0RKEJKY'], dtype=object), array([131, 653, 1080, 'A24H9XZ7OE8WMW'], dtype=object), array([135, 645, 3030, 'A352XA3KA1Y1A4'], dtype=object)]"
4,748,373,"[array([743, 375, 1265, 'A1QXQTNF8CCL6C'], dtype=object), array([748, 373, 2506, 'A3BETRYEHTABOW'], dtype=object), array([745, 371, 733, 'A1TK0ZMZ571GG0'], dtype=object), array([748, 373, 2495, 'ATRF28UBVVCWE'], dtype=object), array([752, 375, 1466, 'A32NWSI7SGQSFW'], dtype=object), array([752, 377, 1794, 'ATV6ICKU8U99L'], dtype=object), array([745, 367, 1139, 'ASI6KXF2GAUTQ'], dtype=object), array([748, 375, 977, 'A1WAGM4T963MTF'], dtype=object), array([748, 373, 1236, 'A2QNHQ8QKKX576'], dtype=object), array([743, 377, 1387, 'A2D7SD76AM3Y9C'], dtype=object), array([748, 377, 2348, 'A33AJDI02B9WQ1'], dtype=object), array([750, 369, 2350, 'A301X9EE0SXTYL'], dtype=object), array([754, 377, 1327, 'A13YH9YNHZXBJE'], dtype=object), array([748, 371, 1520, 'A3SLBRRH6YEVCB'], dtype=object), array([745, 377, 3683, 'A3B466VOJ28ZF7'], dtype=object), array([748, 375, 3006, 'A2Z8V601LQT1KU'], dtype=object), array([743, 367, 778, 'A24H9XZ7OE8WMW'], dtype=object), array([750, 373, 2960, 'A352XA3KA1Y1A4'], dtype=object)]"
5,389,774,"[array([387, 772, 1219, 'A1QXQTNF8CCL6C'], dtype=object), array([387, 778, 959, 'A3BETRYEHTABOW'], dtype=object), array([389, 774, 961, 'ATIGCUKIPNWG0'], dtype=object), array([387, 774, 1009, 'A1TK0ZMZ571GG0'], dtype=object), array([389, 778, 881, 'ATRF28UBVVCWE'], dtype=object), array([391, 776, 2434, 'A32NWSI7SGQSFW'], dtype=object), array([387, 774, 694, 'ATV6ICKU8U99L'], dtype=object), array([391, 778, 1100, 'ASI6KXF2GAUTQ'], dtype=object), array([391, 776, 1102, 'A1WAGM4T963MTF'], dtype=object), array([391, 774, 2063, 'A2QNHQ8QKKX576'], dtype=object), array([391, 770, 1438, 'A2D7SD76AM3Y9C'], dtype=object), array([395, 774, 3269, 'A2QPTOUZV7I1A5'], dtype=object), array([387, 774, 1662, 'A33AJDI02B9WQ1'], dtype=object), array([391, 770, 945, 'A301X9EE0SXTYL'], dtype=object), array([393, 772, 1224, 'A13YH9YNHZXBJE'], dtype=object), array([391, 768, 1199, 'A3SLBRRH6YEVCB'], dtype=object), array([381, 778, 656, 'AW5CAVAQBYOLE'], dtype=object), array([385, 774, 10741, 'A3B466VOJ28ZF7'], dtype=object), array([387, 774, 18767, 'A1N4TYRLJ26DB9'], dtype=object), array([389, 774, 1857, 'A2Z8V601LQT1KU'], dtype=object), array([393, 768, 2470, 'A3IR0O0RKEJKY'], dtype=object), array([391, 778, 782, 'A24H9XZ7OE8WMW'], dtype=object), array([385, 770, 1672, 'A352XA3KA1Y1A4'], dtype=object)]"
6,295,442,"[array([295, 444, 1240, 'A3BETRYEHTABOW'], dtype=object), array([295, 442, 880, 'ATIGCUKIPNWG0'], dtype=object), array([295, 442, 876, 'A1TK0ZMZ571GG0'], dtype=object), array([295, 442, 1017, 'ATRF28UBVVCWE'], dtype=object), array([295, 440, 1139, 'ATV6ICKU8U99L'], dtype=object), array([293, 432, 1271, 'A1WAGM4T963MTF'], dtype=object), array([297, 444, 2065, 'A2QNHQ8QKKX576'], dtype=object), array([295, 440, 1441, 'A2D7SD76AM3Y9C'], dtype=object), array([295, 440, 1912, 'A33AJDI02B9WQ1'], dtype=object), array([279, 440, 704, 'AW5CAVAQBYOLE'], dtype=object), array([297, 442, 5931, 'A3B466VOJ28ZF7'], dtype=object), array([295, 438, 4871, 'A1N4TYRLJ26DB9'], dtype=object), array([297, 444, 2394, 'A2Z8V601LQT1KU'], dtype=object), array([289, 453, 1712, 'A352XA3KA1Y1A4'], dtype=object)]"
7,311,809,"[array([315, 803, 1852, 'A3BETRYEHTABOW'], dtype=object), array([311, 809, 1160, 'A1TK0ZMZ571GG0'], dtype=object), array([299, 813, 2358, 'ATRF28UBVVCWE'], dtype=object), array([313, 811, 1966, 'A32NWSI7SGQSFW'], dtype=object), array([313, 811, 1012, 'ATV6ICKU8U99L'], dtype=object), array([313, 805, 836, 'ASI6KXF2GAUTQ'], dtype=object), array([305, 811, 577, 'A1WAGM4T963MTF'], dtype=object), array([315, 811, 1836, 'A2QNHQ8QKKX576'], dtype=object), array([313, 805, 1576, 'A2D7SD76AM3Y9C'], dtype=object), array([317, 805, 1529, 'A2QPTOUZV7I1A5'], dtype=object), array([311, 811, 1066, 'A33AJDI02B9WQ1'], dtype=object), array([307, 809, 1151, 'A13YH9YNHZXBJE'], dtype=object), array([311, 813, 1176, 'A3SLBRRH6YEVCB'], dtype=object), array([307, 807, 1129, 'AW5CAVAQBYOLE'], dtype=object), array([313, 811, 2435, 'A3B466VOJ28ZF7'], dtype=object), array([311, 803, 2352, 'A1N4TYRLJ26DB9'], dtype=object), array([313, 807, 1973, 'A2Z8V601LQT1KU'], dtype=object)]"
8,537,397,"[array([535, 403, 6422, 'A1QXQTNF8CCL6C'], dtype=object), array([535, 399, 1204, 'A3BETRYEHTABOW'], dtype=object), array([543, 399, 1664, 'ATIGCUKIPNWG0'], dtype=object), array([537, 397, 1360, 'A1TK0ZMZ571GG0'], dtype=object), array([535, 401, 2398, 'ATRF28UBVVCWE'], dtype=object), array([535, 401, 3932, 'A32NWSI7SGQSFW'], dtype=object), array([530, 399, 967, 'ATV6ICKU8U99L'], dtype=object), array([532, 397, 1482, 'ASI6KXF2GAUTQ'], dtype=object), array([535, 395, 919, 'A1WAGM4T963MTF'], dtype=object), array([543, 397, 1540, 'A2QNHQ8QKKX576'], dtype=object), array([537, 401, 1473, 'A2D7SD76AM3Y9C'], dtype=object), array([539, 385, 18188, 'A33AJDI02B9WQ1'], dtype=object), array([532, 399, 931, 'A301X9EE0SXTYL'], dtype=object), array([543, 399, 1428, 'A13YH9YNHZXBJE'], dtype=object), array([539, 403, 1105, 'A3SLBRRH6YEVCB'], dtype=object), array([535, 397, 1656, 'AW5CAVAQBYOLE'], dtype=object), array([537, 399, 6008, 'A3B466VOJ28ZF7'], dtype=object), array([535, 393, 10091, 'A1N4TYRLJ26DB9'], dtype=object), array([537, 395, 4179, 'A2Z8V601LQT1KU'], dtype=object), array([541, 397, 10332, 'A3IR0O0RKEJKY'], dtype=object), array([535, 401, 1070, 'A24H9XZ7OE8WMW'], dtype=object), array([535, 397, 2464, 'A352XA3KA1Y1A4'], dtype=object)]"
9,252,510,"[array([252, 512, 1279, 'A3BETRYEHTABOW'], dtype=object), array([252, 510, 1338, 'ATRF28UBVVCWE'], dtype=object), array([246, 512, 1202, 'ATV6ICKU8U99L'], dtype=object), array([250, 512, 1318, 'ASI6KXF2GAUTQ'], dtype=object), array([254, 510, 1267, 'A33AJDI02B9WQ1'], dtype=object), array([254, 510, 1273, 'A13YH9YNHZXBJE'], dtype=object), array([246, 506, 1036, 'AW5CAVAQBYOLE'], dtype=object), array([254, 512, 11348, 'A1N4TYRLJ26DB9'], dtype=object), array([252, 512, 2482, 'A2Z8V601LQT1KU'], dtype=object), array([254, 510, 1233, 'A24H9XZ7OE8WMW'], dtype=object), array([256, 508, 11280, 'A352XA3KA1Y1A4'], dtype=object)]"
