num_spots,precision_means
10,8.44E-01
20,9.38E-01
30,8.10E-01
40,7.94E-01
50,9.75E-01
60,9.60E-01
70,8.78E-01
80,8.44E-01
90,9.14E-01
100,8.90E-01
