num_replicates,num_spots,avg over iters,iter 1,iter 2,iter 3,iter 4,iter 5,iter 6,iter 7,iter 8,iter 9,iter 10
2,50,0.324,0.26,0.3,0.5,0.58,0.34,0.26,0.3,0.24,0.2,0.26
,75,0.525,0.35,0.45,0.44,0.35,0.88,0.83,0.45,0.31,0.39,0.8
,100,0.778,0.94,0.65,0.39,0.99,0.94,0.95,0.43,0.95,0.59,0.95
,125,0.667,0.86,0.55,0.53,0.91,0.5,0.52,0.87,0.6,0.42,0.91
,150,0.757,0.79,0.48,0.51,0.97,0.61,0.96,0.59,0.89,0.88,0.89
,175,0.749,0.93,0.55,0.6,0.82,0.93,0.9,0.62,0.59,1,0.55
,200,0.757,0.61,0.91,0.6,0.99,0.99,0.81,0.51,0.6,0.99,0.56
,225,0.917,0.9,0.76,0.99,1,0.89,0.94,0.84,0.9,0.98,0.97
3,50,0.228,0.1,0.12,0.12,0.2,0.8,0.12,0.14,0.2,0.28,0.2
,75,0.413,0.32,0.88,0.19,0.53,0.13,0.77,0.75,0.12,0.27,0.17
,100,0.515,0.39,0.87,0.98,0.3,0.45,0.44,0.38,0.46,0.33,0.55
,125,0.555,0.86,0.34,0.34,0.42,0.88,0.9,0.38,0.63,0.44,0.36
,150,0.713,0.86,0.59,0.87,0.77,0.43,0.71,0.36,0.77,0.92,0.85
,175,0.721,0.52,0.49,0.88,0.51,0.7,0.89,0.89,0.9,0.76,0.67
,200,0.897,0.86,0.94,0.73,0.88,0.84,0.92,0.98,0.91,0.98,0.93
,225,0.844,0.8,0.99,0.69,0.98,0.84,0.85,0.52,0.85,0.98,0.94
4,50,0.13,0.12,0.12,0.12,0.1,0.1,0.28,0.12,0.1,0.1,0.14
,75,0.26,0.11,0.2,0.73,0.15,0.16,0.13,0.23,0.35,0.39,0.15
,100,0.464,0.35,0.93,0.37,0.37,0.28,0.48,0.35,0.56,0.47,0.48
,125,0.682,0.29,0.9,0.39,0.88,0.82,0.86,0.62,0.33,0.9,0.83
,150,0.84,0.91,0.91,0.87,0.59,0.85,0.91,0.89,0.85,0.93,0.69
,175,0.793,0.87,0.85,0.42,0.83,0.78,0.78,0.89,0.86,0.87,0.78
,200,0.781,0.81,0.67,0.69,0.7,0.51,0.77,0.91,0.91,0.92,0.92
,225,0.697,0.88,0.45,0.88,0.61,0.87,0.84,0.48,0.46,0.87,0.63
5,50,0.216,0.1,0.12,0.24,0.1,0.66,0.14,0.28,0.18,0.1,0.24
,75,0.319,0.37,0.31,0.12,0.39,0.11,0.72,0.37,0.43,0.24,0.13
,100,0.623,0.9,0.88,0.75,0.44,0.39,0.25,0.38,0.85,0.41,0.98
,125,0.657,0.84,0.38,0.74,0.89,0.82,0.85,0.47,0.33,0.4,0.85
,150,0.661,0.89,0.75,0.65,0.43,0.67,0.87,0.63,0.44,0.87,0.41
,175,0.597,0.45,0.66,0.35,0.83,0.74,0.5,0.37,0.74,0.6,0.73
,200,0.771,0.81,0.71,0.68,0.89,0.79,0.74,0.85,0.44,0.88,0.92
,225,0.748,0.82,0.39,0.93,0.62,0.84,0.8,0.84,0.65,0.63,0.96
6,50,0.12,0.1,0.14,0.1,0.1,0.1,0.12,0.12,0.1,0.1,0.22
,75,0.325,0.43,0.09,0.08,0.67,0.13,0.71,0.12,0.15,0.16,0.71
,100,0.489,0.28,0.88,0.87,0.24,0.88,0.2,0.25,0.61,0.4,0.28
,125,0.576,0.3,0.74,0.46,0.48,0.66,0.9,0.28,0.86,0.81,0.27
,150,0.606,0.71,0.33,0.66,0.32,0.29,0.88,0.87,0.81,0.59,0.6
,175,0.565,0.38,0.79,0.62,0.32,0.32,0.38,0.71,0.58,0.77,0.78
,200,0.71,0.78,0.68,0.72,0.78,0.69,0.78,0.56,0.72,0.68,0.71
,225,0.74,0.46,0.73,0.84,0.68,0.87,0.67,0.94,0.6,0.83,0.78
7,50,0.118,0.1,0.1,0.08,0.08,0.1,0.28,0.12,0.12,0.1,0.1
,75,0.135,0.07,0.07,0.09,0.15,0.07,0.12,0.19,0.35,0.11,0.13
,100,0.287,0.27,0.21,0.27,0.5,0.43,0.2,0.27,0.26,0.26,0.2
,125,0.467,0.44,0.36,0.31,0.42,0.82,0.46,0.26,0.78,0.35,0.47
,150,0.561,0.63,0.77,0.87,0.59,0.38,0.69,0.38,0.37,0.29,0.64
,175,0.507,0.4,0.3,0.38,0.58,0.54,0.86,0.3,0.72,0.29,0.7
,200,0.637,0.63,0.69,0.57,0.47,0.76,0.43,0.68,0.8,0.63,0.71
,225,0.665,0.75,0.64,0.84,0.37,0.64,0.47,0.78,0.84,0.56,0.76
8,50,0.092,0.08,0.1,0.1,0.1,0.08,0.08,0.08,0.1,0.08,0.12
,75,0.262,0.07,0.69,0.05,0.71,0.05,0.09,0.05,0.71,0.11,0.09
,100,0.423,0.84,0.25,0.2,0.29,0.46,0.45,0.2,0.47,0.86,0.21
,125,0.336,0.39,0.29,0.22,0.43,0.42,0.28,0.28,0.18,0.37,0.5
,150,0.473,0.75,0.23,0.87,0.39,0.38,0.51,0.33,0.29,0.35,0.63
,175,0.423,0.3,0.26,0.71,0.71,0.43,0.31,0.33,0.29,0.64,0.25
,200,0.532,0.43,0.8,0.62,0.38,0.3,0.61,0.59,0.78,0.42,0.39
,225,0.658,0.76,0.72,0.44,0.83,0.56,0.69,0.48,0.75,0.77,0.58
9,50,0.09,0.08,0.12,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.1
,75,0.079,0.11,0.11,0.08,0.07,0.05,0.08,0.05,0.08,0.07,0.09
,100,0.276,0.24,0.2,0.29,0.3,0.36,0.31,0.36,0.19,0.2,0.31
,125,0.293,0.26,0.17,0.49,0.21,0.25,0.24,0.48,0.45,0.17,0.21
,150,0.375,0.29,0.32,0.3,0.45,0.54,0.27,0.64,0.29,0.35,0.3
,175,0.313,0.38,0.31,0.59,0.24,0.25,0.29,0.26,0.29,0.25,0.27
,200,0.51,0.73,0.38,0.3,0.43,0.39,0.3,0.78,0.79,0.61,0.39
,225,0.604,0.59,0.38,0.37,0.66,0.8,0.54,0.62,0.64,0.73,0.71
10,50,0.106,0.08,0.1,0.28,0.08,0.08,0.08,0.1,0.1,0.08,0.08
,75,0.079,0.09,0.08,0.09,0.07,0.07,0.08,0.08,0.09,0.07,0.07
,100,0.304,0.2,0.27,0.35,0.48,0.45,0.2,0.32,0.17,0.32,0.28
,125,0.208,0.17,0.17,0.23,0.33,0.3,0.17,0.16,0.16,0.18,0.21
,150,0.323,0.53,0.27,0.23,0.26,0.25,0.23,0.27,0.23,0.57,0.39
,175,0.256,0.23,0.26,0.22,0.22,0.3,0.22,0.37,0.23,0.21,0.3
,200,0.378,0.34,0.41,0.36,0.31,0.42,0.37,0.52,0.38,0.36,0.31
,225,0.517,0.56,0.69,0.36,0.68,0.32,0.35,0.69,0.52,0.65,0.35
11,50,0.08,0.06,0.08,0.08,0.08,0.1,0.1,0.08,0.08,0.08,0.06
,75,0.062,0.07,0.05,0.04,0.08,0.08,0.08,0.07,0.05,0.05,0.05
,100,0.337,0.25,0.46,0.47,0.48,0.49,0.45,0.18,0.14,0.18,0.27
,125,0.228,0.45,0.13,0.14,0.19,0.14,0.27,0.18,0.14,0.47,0.17
,150,0.404,0.37,0.23,0.62,0.61,0.31,0.25,0.25,0.53,0.63,0.24
,175,0.222,0.22,0.19,0.26,0.23,0.21,0.23,0.26,0.21,0.23,0.18
,200,0.4,0.28,0.33,0.71,0.31,0.31,0.32,0.31,0.63,0.3,0.5
,225,0.509,0.34,0.52,0.84,0.73,0.38,0.32,0.49,0.72,0.32,0.43
12,50,0.094,0.22,0.08,0.06,0.1,0.08,0.06,0.08,0.1,0.08,0.08
,75,0.056,0.08,0.05,0.07,0.05,0.05,0.08,0.04,0.04,0.05,0.05
,100,0.217,0.27,0.23,0.28,0.19,0.14,0.17,0.37,0.23,0.16,0.13
,125,0.202,0.33,0.14,0.14,0.14,0.23,0.16,0.13,0.48,0.14,0.13
,150,0.242,0.22,0.24,0.21,0.24,0.33,0.23,0.22,0.29,0.24,0.2
,175,0.206,0.21,0.21,0.21,0.21,0.23,0.19,0.17,0.22,0.19,0.22
,200,0.344,0.41,0.35,0.28,0.53,0.32,0.31,0.33,0.33,0.28,0.3
,225,0.371,0.26,0.28,0.32,0.49,0.31,0.32,0.29,0.66,0.51,0.27
13,50,0.088,0.04,0.04,0.3,0.06,0.08,0.08,0.08,0.04,0.08,0.08
,75,0.047,0.05,0.07,0.08,0.05,0.05,0.04,0.03,0.04,0.03,0.03
,100,0.239,0.16,0.12,0.47,0.46,0.33,0.16,0.14,0.23,0.17,0.15
,125,0.178,0.14,0.22,0.14,0.14,0.2,0.14,0.15,0.15,0.15,0.35
,150,0.189,0.19,0.16,0.17,0.26,0.21,0.2,0.14,0.16,0.21,0.19
,175,0.199,0.21,0.22,0.21,0.19,0.19,0.18,0.21,0.19,0.2,0.19
,200,0.3,0.32,0.31,0.3,0.24,0.24,0.29,0.37,0.31,0.27,0.35
,225,0.436,0.58,0.39,0.53,0.45,0.5,0.28,0.52,0.29,0.58,0.24
14,50,0.056,0.04,0.04,0.08,0.04,0.06,0.06,0.06,0.08,0.04,0.06
,75,0.041,0.03,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.03,0.04
,100,0.213,0.14,0.17,0.13,0.31,0.31,0.22,0.21,0.3,0.14,0.2
,125,0.128,0.11,0.12,0.14,0.15,0.11,0.14,0.11,0.13,0.13,0.14
,150,0.236,0.18,0.54,0.24,0.2,0.17,0.19,0.22,0.2,0.19,0.23
,175,0.176,0.18,0.21,0.19,0.16,0.17,0.19,0.19,0.17,0.14,0.16
,200,0.261,0.38,0.26,0.25,0.23,0.23,0.26,0.24,0.26,0.22,0.28
,225,0.385,0.32,0.25,0.27,0.5,0.32,0.28,0.58,0.39,0.3,0.64
15,50,0.052,0.06,0.08,0.04,0.08,0.04,0.06,0.04,0.04,0.04,0.04
,75,0.036,0.03,0.03,0.03,0.03,0.05,0.04,0.03,0.04,0.05,0.03
,100,0.156,0.28,0.1,0.11,0.12,0.1,0.14,0.12,0.14,0.13,0.32
,125,0.124,0.12,0.13,0.1,0.11,0.14,0.12,0.13,0.14,0.12,0.13
,150,0.199,0.2,0.23,0.16,0.17,0.32,0.17,0.19,0.17,0.17,0.21
,175,0.169,0.17,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.16,0.16
,200,0.247,0.26,0.27,0.24,0.23,0.24,0.28,0.22,0.26,0.23,0.24
,225,0.336,0.23,0.3,0.25,0.36,0.24,0.28,0.31,0.48,0.36,0.55
16,50,0.058,0.04,0.04,0.06,0.06,0.08,0.06,0.06,0.06,0.08,0.04
,75,0.035,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.04
,100,0.152,0.13,0.09,0.23,0.11,0.11,0.25,0.11,0.28,0.1,0.11
,125,0.112,0.1,0.12,0.12,0.1,0.11,0.12,0.12,0.11,0.13,0.09
,150,0.163,0.16,0.16,0.13,0.13,0.23,0.17,0.16,0.17,0.16,0.16
,175,0.158,0.17,0.16,0.16,0.14,0.15,0.16,0.16,0.16,0.17,0.15
,200,0.237,0.27,0.24,0.23,0.29,0.23,0.2,0.22,0.2,0.21,0.28
,225,0.314,0.24,0.36,0.28,0.25,0.43,0.55,0.25,0.25,0.27,0.26
17,50,0.08,0.06,0.06,0.08,0.06,0.06,0.3,0.04,0.04,0.04,0.06
,75,0.032,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03
,100,0.124,0.22,0.1,0.1,0.09,0.24,0.1,0.1,0.09,0.11,0.09
,125,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1
,150,0.143,0.13,0.17,0.13,0.13,0.18,0.14,0.13,0.13,0.16,0.13
,175,0.156,0.17,0.16,0.17,0.15,0.16,0.14,0.14,0.17,0.15,0.15
,200,0.233,0.22,0.24,0.2,0.23,0.23,0.24,0.27,0.24,0.27,0.19
