num_replicates,num_spots,avg over iters,iter 1,iter 2,iter 3,iter 4,iter 5,iter 6,iter 7,iter 8,iter 9,iter 10
2,50,0.704,0.740,0.740,0.540,0.440,0.680,0.760,0.720,0.800,0.840,0.780
,75,0.484,0.680,0.547,0.573,0.667,0.120,0.173,0.547,0.707,0.627,0.200
,100,0.237,0.060,0.360,0.670,0.010,0.060,0.050,0.640,0.050,0.420,0.050
,125,0.352,0.160,0.448,0.504,0.096,0.520,0.504,0.152,0.424,0.624,0.088
,150,0.269,0.247,0.553,0.547,0.040,0.433,0.040,0.467,0.113,0.133,0.120
,175,0.286,0.086,0.491,0.457,0.246,0.074,0.114,0.440,0.463,0.000,0.491
,200,0.281,0.460,0.115,0.480,0.005,0.010,0.225,0.560,0.460,0.005,0.485
,225,0.103,0.124,0.271,0.018,0.009,0.156,0.080,0.196,0.124,0.022,0.031
3,50,0.808,0.940,0.920,0.920,0.840,0.200,0.920,0.900,0.840,0.760,0.840
,75,0.603,0.707,0.133,0.840,0.467,0.893,0.227,0.267,0.907,0.733,0.853
,100,0.520,0.660,0.130,0.020,0.730,0.580,0.630,0.670,0.620,0.710,0.450
,125,0.474,0.160,0.712,0.696,0.592,0.120,0.096,0.656,0.416,0.600,0.688
,150,0.317,0.160,0.480,0.133,0.267,0.627,0.327,0.693,0.253,0.080,0.153
,175,0.315,0.537,0.577,0.171,0.577,0.354,0.114,0.114,0.103,0.257,0.349
,200,0.119,0.180,0.075,0.315,0.125,0.165,0.095,0.015,0.115,0.015,0.085
,225,0.186,0.236,0.013,0.373,0.022,0.209,0.187,0.569,0.164,0.018,0.067
4,50,0.910,0.920,0.920,0.920,0.940,0.940,0.760,0.920,0.940,0.940,0.900
,75,0.765,0.920,0.813,0.280,0.880,0.867,0.893,0.800,0.680,0.640,0.880
,100,0.577,0.700,0.080,0.690,0.680,0.800,0.540,0.670,0.500,0.560,0.550
,125,0.343,0.800,0.104,0.656,0.128,0.200,0.152,0.400,0.704,0.104,0.184
,150,0.169,0.093,0.093,0.147,0.427,0.160,0.087,0.120,0.153,0.067,0.347
,175,0.241,0.149,0.166,0.657,0.183,0.286,0.251,0.126,0.166,0.143,0.280
,200,0.257,0.215,0.385,0.345,0.350,0.580,0.285,0.115,0.115,0.080,0.100
,225,0.366,0.182,0.640,0.138,0.462,0.196,0.213,0.613,0.631,0.169,0.418
5,50,0.818,0.940,0.920,0.800,0.940,0.340,0.900,0.760,0.860,0.940,0.780
,75,0.699,0.640,0.693,0.907,0.613,0.907,0.293,0.653,0.613,0.773,0.893
,100,0.415,0.100,0.120,0.260,0.620,0.670,0.850,0.680,0.150,0.680,0.020
,125,0.369,0.184,0.640,0.264,0.112,0.200,0.160,0.560,0.728,0.656,0.184
,150,0.374,0.120,0.273,0.393,0.627,0.387,0.140,0.447,0.593,0.133,0.627
