num_spots,precision_stds
10,1.96E-01
20,1.84E-01
30,9.50E-02
40,5.52E-02
50,5.09E-02
60,1.59E-01
70,1.28E-01
80,8.57E-02
90,8.56E-04
100,1.12E-01
200,9.79E-03
400,2.33E-02
800,1.34E-02
