num_spots,precision_means
10,8.10E-01
20,8.11E-01
30,9.23E-01
40,9.27E-01
50,9.25E-01
60,8.69E-01
70,7.82E-01
80,8.76E-01
90,9.88E-01
100,8.58E-01
200,9.78E-01
400,9.72E-01
800,9.65E-01
