num_spots,recall_stds
10,2.52E-01
20,1.18E-01
30,1.30E-01
40,1.50E-01
50,8.95E-02
60,1.66E-01
70,5.68E-02
80,1.17E-01
90,1.20E-02
100,5.76E-02
200,7.04E-02
400,1.10E-01
800,1.08E-01
