col,row
259.3,204.54
575.02,276.69
640.57,316.69
624.28,379.65
689.46,343.35
689.46,369.28
681.31,370.02
671.69,372.24
748.72,376.69
758.19,368.56
761.35,370.45
790.39,369.19
776.5,320.59
806.8,317.43
817.53,323.11
811.85,304.81
813.11,298.49
830.79,274.51
819.42,256.2
834.57,244.84
868.03,277.66
880.02,246.1
888.86,255.57
897.7,264.41
915.37,33.377
904.64,36.533
873.08,348.36
900.85,369.82
926.1,374.24
830.79,268.19
945.74,50.42
947,54.208
938.79,66.832
951.42,61.151
958.36,65.57
1014.5,35.902
1046.1,37.796
1044.2,46.002
1047.4,55.47
1056.8,47.264
1056.2,40.952
1085.2,27.696
1123.7,24.54
1226,10.653
1219.1,9.3904
1218.4,24.54
1226.6,25.802
1231.7,26.434
1217.2,42.846
1188.4,17.45
1195.9,20.286
1187.4,27.375
1207.7,42.498
1225.2,49.114
1231.4,55.258
1232.8,51.477
1247,16.978
1227.6,61.401
1237.5,66.127
1236.1,161.59
1201.6,154.97
1154.8,175.77
1138.7,171.99
1117,165.37
1119.8,158.28
1089.6,163.01
1087.7,152.61
1074,76.524
1066.9,64.71
1061.7,61.401
1052.7,69.908
1040.9,73.689
1248.9,117.64
1104.8,133.71
1273.5,167.26
1268.8,182.86
1285.2,38.721
1338.7,64.502
1360.9,50
1363.5,38.076
1372.2,42.266
1379.3,71.269
1344.8,117.35
1376.4,151.51
1295.2,148.29
1309.7,191.79
1331.6,108.33
935.58,272.41
937,308.8
950.23,277.14
814.12,387.73
1058.5,94.483
962.52,271.94
1008.8,234.13
1001.3,327.24
1005.5,333.85
965.83,277.61
968.66,284.23
997.49,342.83
1023.5,331.49
1226.7,309.75
1248.9,339.05
1244.2,207.2
1297.8,214.67
1297.4,210.16
1302.3,231.43
1316.5,233.69
1323.2,263.98
1279.1,305.23
1291,313.61
1355.1,333.59
1350.3,346.16
1357.1,356.47
1386.4,363.24
1315.2,368.39
1293.9,366.46
1323.9,327.47
1357.4,304.26
1376.1,368.39
