col,row
348.6,9.2972
392.85,14.829
376.25,33.635
408.33,160.86
421.61,167.5
427.14,169.71
395.06,168.6
428.25,192.94
417.18,196.26
408.33,221.7
424.93,320.16
407.23,365.52
374.04,383.22
407.23,396.5
301.02,62.399
336.43,152.01
345.28,173.03
312.09,164.18
302.13,181.88
273.37,101.12
240.18,96.694
222.48,97.8
142.83,10.403
145.04,59.08
270.05,148.69
216.95,187.41
225.8,228.34
272.26,295.83
307.66,299.14
329.79,324.59
125.13,209.54
86.405,270.38
210.31,311.31
201.46,323.48
288.86,336.76
288.86,336.76
254.56,362.2
237.97,365.52
224.69,342.29
199.25,359.99
204.78,365.52
309.88,385.43
314.3,398.71
349.7,424.15
315.41,430.79
294.86,415.94
295.94,425.68
298.11,438.67
308.93,439.75
334.9,449.49
364.11,462.47
377.09,472.21
333.81,483.03
342.47,527.39
305.68,460.31
294.86,455.98
260.24,435.42
273.22,404.04
254.83,401.88
184.5,379.16
178.01,388.89
159.61,395.39
144.47,374.83
43.84,379.16
168.27,422.44
161.78,431.09
223.45,433.26
237.52,461.39
242.93,472.21
254.83,484.11
267.81,493.85
294.86,493.85
286.21,501.42
299.19,513.32
291.62,520.9
321.91,537.13
274.3,516.57
381.42,619.36
237.52,498.17
273.22,543.62
294.86,547.95
255.91,541.45
233.19,542.54
236.43,559.85
199.65,506.83
189.91,481.95
229.94,480.86
202.89,534.96
206.14,546.86
210.47,554.44
196.4,564.18
250.5,579.32
260.24,586.9
268.89,563.09
162.86,540.37
168.27,525.22
176.93,517.65
142.3,479.78
147.71,477.62
108.76,462.47
44.922,461.39
44.922,501.42
88.202,485.19
89.284,501.42
127.15,516.57
139.06,528.47
168.27,559.85
153.12,566.34
196.4,596.64
182.34,599.88
169.35,596.64
172.6,609.62
179.09,624.77
188.83,639.92
213.71,628.01
267.81,620.44
319.75,618.28
328.4,615.03
332.73,643.16
339.22,647.49
338.14,674.54
320.83,652.9
313.26,657.23
301.35,655.06
298.11,642.08
268.89,643.16
265.65,631.26
250.5,637.75
229.94,652.9
278.63,699.43
287.29,711.33
237.52,703.75
220.2,700.51
153.12,610.7
149.88,619.36
124.99,537.13
129.32,576.08
110.92,555.52
90.366,527.39
75.218,520.9
58.988,516.57
34.102,536.04
51.414,553.36
80.628,589.06
62.234,592.31
43.84,618.28
15.709,602.05
47.086,649.65
92.53,647.49
89.284,663.72
75.218,672.38
53.578,721.07
127.15,688.61
61.152,668.05
34.102,681.03
24.365,666.97
210.47,569.59
446.1,10.709
518.69,43.213
519.78,64.882
572.87,22.627
598.87,43.213
619.45,37.796
573.95,72.466
571.78,88.718
549.03,101.72
481.86,86.551
452.6,97.386
456.94,112.55
488.36,145.06
469.94,177.56
590.2,158.06
527.36,139.64
602.12,126.64
514.36,186.23
478.61,236.07
440.68,155.89
443.93,139.64
480.77,195.98
484.02,185.15
497.02,187.31
676.88,110.39
673.63,58.381
705.05,39.963
720.22,23.711
653.04,120.14
675.79,77.884
803.64,18.294
852.4,23.711
818.81,47.547
802.56,38.879
861.07,61.632
849.15,84.384
841.56,98.469
851.31,116.89
754.89,26.961
776.56,90.885
745.14,59.465
840.48,165.64
813.39,127.72
792.81,128.81
777.64,140.72
781.97,153.73
775.47,159.14
744.05,147.22
760.3,153.73
760.3,175.39
726.72,147.22
727.8,184.06
824.23,182.98
815.56,175.39
848.06,203.56
807.98,197.06
780.89,224.15
761.39,206.81
833.98,223.07
812.31,246.9
790.64,255.57
791.72,271.82
764.64,276.16
747.3,241.49
728.88,213.32
692.05,224.15
677.96,233.9
707.21,252.32
754.89,316.24
784.14,292.41
801.48,307.58
840.48,347.66
857.81,346.58
858.9,368.25
737.55,339
718.05,305.41
713.72,291.32
699.63,295.66
670.38,305.41
692.05,365
811.23,395.34
829.64,432.17
774.39,397.5
777.64,408.34
812.31,413.75
799.31,459.26
800.39,471.18
661.71,270.74
569.62,314.08
510.03,329.25
525.19,431.09
495.94,445.17
460.19,476.6
674.71,374.75
681.21,406.17
690.96,421.34
655.21,410.5
620.54,424.59
622.7,434.34
646.54,454.93
724.55,417.01
732.13,454.93
714.8,465.76
705.05,465.76
674.71,449.51
654.13,391
734.3,425.67
781.97,480.93
810.14,511.27
798.22,508.02
789.56,509.1
772.22,503.68
766.8,492.85
762.47,499.35
